Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
184,"U Hege**, F Palomino***, A Schwienbacher****","Venture capital performance: the disparity between Europe and the United States",2009,"Finance","cairn.info","https://www.cairn.info/revue-finance-2009-1-page-7.htm","https://scholar.google.com/scholar?cites=6447554703266305644&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-04-06 21:39:23","HTML","","","",,,,,184,12.27,61,3,15,"This paper compares the success of venture capital investments in the United States and in Europe by analyzing individual venture-backed companies and the value generated within …","https://www.cairn.info/revue-finance-2009-1-page-7.htm","https://scholar.google.com/scholar?q=related:bFYWjtdQelkJ:scholar.google.com/&scioq=%220752+6180%22&hl=en&as_sdt=0,5&as_ylo=2008&as_yhi=2023&as_vis=1"
103,"M Merli, T Roger","What drives the herding behavior of individual investors?",2013,"Finance","cairn.info","https://www.cairn.info/revue-finance-2013-3-page-67.htm?wt.src=pdf","https://scholar.google.com/scholar?cites=17181801308828683499&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-04-06 21:39:23","HTML","","","",,,,,103,9.36,52,2,11,"We introduce a new measure of herding that allows for tracking dynamics of individual herding. Using a database of nearly 8 million trades by 87,373 retail investors between 1999 and …","https://www.cairn.info/revue-finance-2013-3-page-67.htm?wt.src=pdf","https://scholar.google.com/scholar?q=related:60wT3kEFcu4J:scholar.google.com/&scioq=%220752+6180%22&hl=en&as_sdt=0,5&as_ylo=2008&as_yhi=2023&as_vis=1"
97,"E Ginglinger, J Hamon*","Ownership, control and market liquidity",2012,"Finance","cairn.info","https://www.cairn.info/revue-finance-2012-2-page-61.htm","https://scholar.google.com/scholar?cites=4422096484704142068&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-04-06 21:39:23","HTML","","","",,,,,97,8.08,49,2,12,"We examine how ownership concentration and the separation of ownership and control affect secondary-market liquidity in France. We find that firms with a large insider blockholder …","https://www.cairn.info/revue-finance-2012-2-page-61.htm","https://scholar.google.com/scholar?q=related:9EJL1VJxXj0J:scholar.google.com/&scioq=%220752+6180%22&hl=en&as_sdt=0,5&as_ylo=2008&as_yhi=2023&as_vis=1"
84,"C Bernard 1, PP Boyle 2, S Vanduffel 3","Explicit representation of cost-efficient strategies",2014,"Finance","cairn.info","https://www.cairn.info/revue-finance-2014-2-page-5.htm","https://scholar.google.com/scholar?cites=17404366566700462543&as_sdt=2005&sciodt=0,5&hl=en",4,"2024-04-06 21:39:23","HTML","","","",,,,,84,8.40,28,3,10,"In this paper, we give an explicit representation of the lowest cost strategy to achieve a given payoff distribution (that we call “cost-efficient” strategy). For any inefficient strategy, we are …","https://www.cairn.info/revue-finance-2014-2-page-5.htm","https://scholar.google.com/scholar?q=related:z7HdHC67iPEJ:scholar.google.com/&scioq=%220752+6180%22&hl=en&as_sdt=0,5&as_ylo=2008&as_yhi=2023&as_vis=1"
72,"C HJ Reuter*","A survey of 'culture and finance'",2011,"Finance","cairn.info","https://www.cairn.info/revue-finance-2011-1-page-75.htm","https://scholar.google.com/scholar?cites=2019387958628121354&as_sdt=2005&sciodt=0,5&hl=en",6,"2024-04-06 21:39:23","HTML","","","",,,,,72,5.54,72,1,13,"In this research article, peer-reviewed academic journals in the area of finance have been screened to investigate the recent rise in interest for “cultural approaches”. The aim has been …","https://www.cairn.info/revue-finance-2011-1-page-75.htm","https://scholar.google.com/scholar?q=related:Cvu6MaZOBhwJ:scholar.google.com/&scioq=%220752+6180%22&hl=en&as_sdt=0,5&as_ylo=2008&as_yhi=2023&as_vis=1"
63,"EI Dumitrescu*, C Hurlin**, V Pham***","Backtesting value-at-risk: from dynamic quantile to dynamic binary tests",2012,"Finance","cairn.info","https://www.cairn.info/revue-finance-2012-1-page-79.htm","https://scholar.google.com/scholar?cites=15358432954697410839&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-04-06 21:39:23","HTML","","","",,,,,63,5.25,21,3,12,"In this paper we propose a new tool for backtesting that examines the quality of Value-at-Risk (VaR) forecasts. To date, the most distinguished regression-based backtest, proposed by …","https://www.cairn.info/revue-finance-2012-1-page-79.htm","https://scholar.google.com/scholar?q=related:F2lkW2YdJNUJ:scholar.google.com/&scioq=%220752+6180%22&hl=en&as_sdt=0,5&as_ylo=2008&as_yhi=2023&as_vis=1"
46,"I Girerd-Potin, S Jimenez-Garces, P Louvet","The link between social rating and financial capital structure",2011,"Finance","cairn.info","https://www.cairn.info/revue-finance-2011-2-page-9.htm","https://scholar.google.com/scholar?cites=2641698793310430097&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-04-06 21:39:23","HTML","","","",,,,,46,3.54,15,3,13,"This article focuses on the link between a firm’s corporate financial structure and its social rating. We propose a new general model showing that less socially engaged firms issue more …","https://www.cairn.info/revue-finance-2011-2-page-9.htm","https://scholar.google.com/scholar?q=related:kaPYYg4zqSQJ:scholar.google.com/&scioq=%220752+6180%22&hl=en&as_sdt=0,5&as_ylo=2008&as_yhi=2023&as_vis=1"
45,"JM Gaspar*","The Performance of French LBO Firms: New data and new results",2012,"Finance","cairn.info","https://www.cairn.info/revue-finance-2012-2-page-7.htm","https://scholar.google.com/scholar?cites=7308956706377917060&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-04-06 21:39:23","HTML","","","",,,,,45,3.75,45,1,12,"This paper investigates the operating performance of French targets of Leveraged Buy-Out (LBO) transactions during the 1995-2005 period. To benchmark LBO performance, I use a …","https://www.cairn.info/revue-finance-2012-2-page-7.htm","https://scholar.google.com/scholar?q=related:hGJdYmahbmUJ:scholar.google.com/&scioq=%220752+6180%22&hl=en&as_sdt=0,5&as_ylo=2008&as_yhi=2023&as_vis=1"
40,"S Boolell-Gunesh**, MH Broihanne**, M Merli**","Disposition effect, investor sophistication and taxes: Some French Specificities",2009,"Finance","cairn.info","https://www.cairn.info/revue-finance-2009-1-page-51.htm","https://scholar.google.com/scholar?cites=6118246121631606519&as_sdt=2005&sciodt=0,5&hl=en",11,"2024-04-06 21:39:23","HTML","","","",,,,,40,2.67,13,3,15,"We investigate the presence of the disposition effect for 90 244 individual investors using a unique large brokerage account database between 1999 and 2006. Our main results show …","https://www.cairn.info/revue-finance-2009-1-page-51.htm","https://scholar.google.com/scholar?q=related:92ZDiG5g6FQJ:scholar.google.com/&scioq=%220752+6180%22&hl=en&as_sdt=0,5&as_ylo=2008&as_yhi=2023&as_vis=1"
36,"BD Nguyen","Ownership structure and board characteristics as determinants of CEO turnover in French-listed companies",2011,"Finance","cairn.info","https://www.cairn.info/revue-finance-2011-2-page-53.htm","https://scholar.google.com/scholar?cites=2103673241898590805&as_sdt=2005&sciodt=0,5&hl=en",15,"2024-04-06 21:39:23","HTML","","","",,,,,36,2.77,36,1,13,"This paper investigates whether ownership structure and board characteristics determine CEO turnover in a sample of largest French-listed firms from 1994 to 2001. The results show …","https://www.cairn.info/revue-finance-2011-2-page-53.htm","https://scholar.google.com/scholar?q=related:VSLc8qq_MR0J:scholar.google.com/&scioq=%220752+6180%22&hl=en&as_sdt=0,5&as_ylo=2008&as_yhi=2023&as_vis=1"
