Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
35,"X Chu, Q Liu, GG Tian",Does control?ownership divergence impair market liquidity in an emerging market? Evidence from C hina,2015,Accounting & Finance,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/acfi.12073,"https://scholar.google.com/scholar?cites=5984140377155819931&as_sdt=2005&sciodt=0,5&hl=en",11,23/03/2024 21:36,,10.1111/acfi.12073,,,,,,,35,3.89,12,3,9,This paper examines how institutional characteristics of emerging economies influence the effect of control?ownership divergence on market liquidity. We find that the divergence is …,https://onlinelibrary.wiley.com/doi/pdf/10.1111/acfi.12073,"https://scholar.google.com/scholar?q=related:m9lxuvfvC1MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"M Briere, A Szafarz",Factors and Sectors in Asset Allocation: Stronger Together?,2018,Advances in the Practice of Public Investment Management,Springer,https://link.springer.com/chapter/10.1007/978-3-319-90245-6_11,"https://scholar.google.com/scholar?cites=14193648540408228213&as_sdt=2005&sciodt=0,5&hl=en",9,07/04/2024 15:20,BOOK,10.1007/978-3-319-90245-6_11,,,,,,,9,1.5,5,2,6,This chapter compares and contrasts factor investing and sector investing and then seeks a compromise by optimally exploiting the advantages of both styles. Our results show that …,https://papers.ssrn.com/Sol3/Delivery.cfm/SSRN_ID3183915_code910983.pdf?abstractid=2965346,"https://scholar.google.com/scholar?q=related:dSnGdSX4-cQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"K Amoa-Gyarteng, S Dhliwayo",The impact of capital structure on profitability of nascent small and medium enterprises in Ghana,2022,African Journal of Business and Economic Research,journals.co.za,https://journals.co.za/doi/pdf/10.31920/1750-4562/2022/v17n2a12,"https://scholar.google.com/scholar?cites=6366994341533999007&as_sdt=2005&sciodt=0,5&hl=en",4,07/04/2024 15:21,,10.31920/1750-4562/2022/v17n2a12,,,,,,,10,5.0,5,2,2,"The importance of small and medium enterprises cannot be overstated; however, most of them fail in their early stages. When small businesses are profitable, their staying power is …",https://www.researchgate.net/profile/Karikari-Amoa-Gyarteng/publication/362158596_The_Impact_of_Capital_Structure_on_Profitability_of_Nascent_Small_and_Medium_Enterprises_in_Ghana/links/62ebf9e345322476937cbd2c/The-Impact-of-Capital-Structure-on-Profitability-of-Nascent-Small-and-Medium-Enterprises-in-Ghana.pdf,"https://scholar.google.com/scholar?q=related:n18Orp4bXFgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"A Bignotti, I Le Roux",Discovering the entrepreneurial endowment of the youth,2018,African Journal of Economic and Management Studies,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/AJEMS-02-2016-0020/full/html,"https://scholar.google.com/scholar?cites=18067844461032323751&as_sdt=2005&sciodt=0,5&hl=en",14,23/03/2024 21:38,,10.1108/AJEMS-02-2016-0020,,,,,,,17,2.83,9,2,6,"Purpose Entrepreneurship is considered as a possible solution to youth unemployment, and the number of initiatives fostering youth entrepreneurship has multiplied accordingly, also in …",https://repository.up.ac.za/bitstream/handle/2263/65429/Bignotti_Discovering_2018.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:pzrXTM_gvfoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
54,"GM Cogliati, S Paleari, S Vismara",IPO pricing: growth rates implied in offer prices,2011,Annals of Finance,Springer,https://link.springer.com/article/10.1007/s10436-010-0170-6,"https://scholar.google.com/scholar?cites=11205335584150567955&as_sdt=2005&sciodt=0,5&hl=en",29,23/03/2024 21:21,,10.1007/s10436-010-0170-6,,,,,,,54,4.15,18,3,13,This paper studies the valuation of companies going public and defines a methodology to infer the growth expectations implicit in the prices of their Initial Public Offering (IPO). The …,https://www.academia.edu/download/40819637/Cogliati_Paleari_Vismara_format.pdf,"https://scholar.google.com/scholar?q=related:E7xWalhZgZsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"B Sarpong?Danquah, M Adusei…",Effect of board gender diversity on the financial performance of microfinance institutions: Does judicial efficiency matter?,2023,Annals of Public and Cooperative Economics,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/apce.12396,"https://scholar.google.com/scholar?cites=11074325850700281580&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 15:22,,10.1111/apce.12396,,,,,,,11,11.0,4,3,1,The impact of board gender diversity on the financial performance of firms is not known. This is because empirical investigations have yielded inconclusive outcomes. This study …,,"https://scholar.google.com/scholar?q=related:7Hbq2a_or5kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"A Aytaç Emin, B Dalg?ç, T Azrak",Constructing a banking fragility index for Islamic banks: definition impact on the predictive power of an early warning system,2021,Applied Economics Letters,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/13504851.2020.1834497,"https://scholar.google.com/scholar?cites=5865290713581100502&as_sdt=2005&sciodt=0,5&hl=en",4,07/04/2024 15:22,,10.1080/13504851.2020.1834497,,,,,,,6,2.0,2,3,3,This study aims to construct a banking sector fragility index for Islamic banks that gives substantial predictive power results. We develop various banking sector fragility indices …,https://www.researchgate.net/profile/Tawfik-Azrak/publication/344768137_Constructing_a_banking_fragility_index_for_Islamic_banks_definition_impact_on_the_predictive_power_of_an_early_warning_system/links/62d121c8eb4df71b51b04117/Constructing-a-banking-fragility-index-for-Islamic-banks-definition-impact-on-the-predictive-power-of-an-early-warning-system.pdf,"https://scholar.google.com/scholar?q=related:1h1mD9SyZVEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
97,"SA Sabir, HB Mohammad, ...",The role of overconfidence and past investment experience in herding behaviour with a moderating effect of financial literacy: evidence from Pakistan stock …,2019,Asian Economic and Social Society,academia.edu,https://www.academia.edu/download/72879728/e098943589c1091d52f7f51974ca0e32c514.pdf,"https://scholar.google.com/scholar?cites=4392375705440484390&as_sdt=2005&sciodt=0,5&hl=en",1,23/03/2024 21:34,PDF,,,,,,,,97,19.4,32,3,5,Contribution/Originality: This study is a pioneer study that examines the influence of financial literacy on the relationship of overconfidence and past investment experience with herding …,https://www.academia.edu/download/72879728/e098943589c1091d52f7f51974ca0e32c514.pdf,"https://scholar.google.com/scholar?q=related:JvzVqm7a9DwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
34,"AT Doan, AT Le, Q Tran","Economic uncertainty, ownership structure and small and medium enterprises performance",2020,Australian Economic Papers,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-8454.12174,"https://scholar.google.com/scholar?cites=17256659065737114671&as_sdt=2005&sciodt=0,5&hl=en",2,07/04/2024 16:19,,10.1111/1467-8454.12174,,,,,,,34,8.5,11,3,4,This paper investigates the effect of economic uncertainty on the performance of small and medium enterprises (SMEs) over the period 2007–2016. This paper also examines the …,,"https://scholar.google.com/scholar?q=related:L_RIl_33e-8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
77,"JM Díez-Esteban, JB Farinha, ...",Are religion and culture relevant for corporate risk-taking? International evidence,2019,BRQ Business Research Quarterly,Elsevier,https://www.sciencedirect.com/science/article/pii/S2340943618302330,"https://scholar.google.com/scholar?cites=11312563972479410091&as_sdt=2005&sciodt=0,5&hl=en",3,23/03/2024 21:38,HTML,,,,,,,,77,15.4,26,3,5,"Using a large sample of firms from 37 countries over the period of 2007–2015, we empirically analyse the impact of religion and national culture characteristics on the level of …",https://www.sciencedirect.com/science/article/pii/S2340943618302330,"https://scholar.google.com/scholar?q=related:q1-EFv9M_pwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
